,,,,,,,,,
AGE,CIVIL STATUS,"YOUTH 
CLASSIFICATION","YOUTH AGE
GROUP",EDUCATIONAL BACKGROUND,WORK STATUS,,,,
15,SINGLE ,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
20,MARRIED ,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
23,SINGLE ,WY,CORE YOUTH,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
18,SINGLE ,WY,CORE YOUTH,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
16,SINGLE ,ISY,CHILD YOUTH ,ELEMENTARY GRADUATE,UNEMPLOYED,,,,
15,SINGLE ,ISY,CHILD YOUTH ,ELEMENTARY GRADUATE,UNEMPLOYED,,,,
16,SINGLE ,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
28,MARRIED ,WY,YOUNG ADULT ,COLLEGE GRADUATE,EMPLOYED,,,,
20,SINGLE ,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE ,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
20,SINGLE ,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
15,SINGLE ,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE ,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
27,SINGLE,OSY,YOUNG ADULT,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
26,MARRIED,OSY,YOUNG ADULT,HIGH SCHOOL UNDERGRADUATE,EMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
15,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,EMPLOYED,,,,
25,SINGLE,OSY,YOUNG ADULT,COLLEGE UNDERGRADUATE ,UNEMPLOYED ,,,,
23,SINGLE,WY,CORE YOUTH ,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
22,SINGLE,OSY,CORE YOUTH ,COLLEGE UNDERGRADUATE ,SELF-EMPLOYED ,,,,
25,MARRIED,OSY,CORE YOUTH ,HIGH SCHOOL GRADUATE,SELF-EMPLOYED ,,,,
23,SINGLE,WY,CORE YOUTH ,COLLEGE UNDERGRADUATE ,SELF-EMPLOYED ,,,,
15,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE ,UNEMPLOYED ,,,,
24,SINGLE,WY,CORE YOUTH ,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
16,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
15,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED ,,,,
23,SINGLE,ISY,CORE YOUTH ,VOCATIONAL GRADUATE ,EMPLOYED,,,,
15,SINGLE,OSY,CHILD YOUTH ,ELEMENTARY GRADUATE ,UNEMPLOYED ,,,,
28,SINGLE,WY,YOUNG ADULT,VOCATIONAL GRADUATE ,SELF-EMPLOYED ,,,,
18,SINGLE,ISY,CORE YOUTH ,COLLEGE UNDERGRADUATE ,UNEMPLOYED ,,,,
16,SINGLE,ISY,CHILD YOUTH ,HIGH  SCHOOL UNDERGRADUATE ,UNEMPLOYED ,,,,
22,SINGLE,ISY,CORE YOUTH ,COLLEGE GRADUATE ,CURRENTLY LOOKING FOR A JOB ,,,,
19,SINGLE,OSY,CORE YOUTH ,HIGH SCHOOL UDERGRADUATE ,SELF-EMPLOYED ,,,,
17,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
18,SINGLE,ISY,CORE YOUTH ,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
19,SINGLE,OSY,CORE YOUTH ,HIGH SCHOOL GRADUATE,CURRENTLY LOOKING FOR A JOB ,,,,
21,SINGLE,ISY,CORE YOUTH ,COLLEGE UNDERGRADUATE ,UNEMPLOYED ,,,,
18,SINGLE,ISY,CORE YOUTH ,HIGH SCHOOL GRADUATE ,UNEMPLOYED ,,,,
16,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE ,UNEMPLOYED ,,,,
16,SINGLE,ISY,CHILD YOUTH ,HIGH SCHOOL GRADUATE ,UNEMPLOYED ,,,,
28,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
23,SINGLE,OSY,CORE YOUTH ,COLLEGE UNDERGRADUATE ,UNEMPLOYED ,,,,
29,MARRIED,OSY,YOUNG ADULT,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
21,SINGLE,ISY,CORE YOUTH ,COLLEGE UNDERGRADE,UNEMPLOYED ,,,,
25,SINGLE,WY,YOUNG ADULT,COLLEGE UNDERGRADE,EMPLOYED,,,,
28,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,UNEMPLOYED ,,,,
23,LIVE-IN,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
24,LIVE-IN,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
19,SINGLE,OSY,CORE YOUTH,ELEMENTARY UNDERGRADUATE,UNEMPLOYED,,,,
21,SINGLE,OSY,CORE YOUTH,ELEMENTARY UNDERGRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
28,LIVE-IN,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
26,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
19,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
30,LIVE-IN,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
28,MARRIED,WY,YOUNG ADULT,COLLEGE GRADUATE,EMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
19,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
25,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
27,MARRIED,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
26,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
28,MARRIED,WY,YOUNG ADULT,MASTERS LEVEL,EMPLOYED,,,,
23,SINGLE,OSY,CORE YOUTH,COLLEGE GRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
19,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
21,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
16,SINGLE,OSY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
23,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
21,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
28,MARRIED,WY,YOUNG ADULT,COLLEGE UNDERGRADUATE ,EMPLOYED,,,,
30,MARRIED,WY,YOUNG ADULT,COLLEGE UNDERGRADUATE ,EMPLOYED,,,,
24,SINGLE,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE ,UNEMPLOYED,,,,
